2,1
4,61
6,44
8,25
10,89
12,26
14,12
16,87
18,79
20,74
22,22
24,87
26,49
28,8
30,9
32,58
34,6
36,82
38,4
40,358
42,198
44,84
46,53
48,51
50,87
52,86
54,43
56,49
58,21
60,82
62,63
64,84
66,28
68,89
70,42
72,50
74,8
76,47
78,8
80,54
82,35
84,12
86,1
88,8
90,89
92,10
94,94
96,264
98,126
100,2
102,87
104,90
106,497
108,74
110,45
112,99
114,35
116,48
118,62
120,54
122,112
124,185
126,70
128,22
130,201
132,204
134,300
136,44
138,886
140,5
142,160
144,250
146,89
148,17
150,88
152,50
154,93
156,17
158,89
160,48
162,83
164,596
166,50
168,48
170,34
172,86
174,12
176,782
178,95
180,157
182,100
184,74
186,489
188,456
190,800
192,79
194,8
196,89
198,89
200,5
102,65
104,4
106,26
108,84
110,65
112,4
114,416
116,246
118,4
120,87
122,2
124,4
126,68
128,46
130,82
132,498
134,85
136,156
138,23
140,84
142,38
144,46
146,26
148,18
150,17
152,68
154,89
156,82
158,56
160,56
162,13
164,41
166,10
168,68
170,89
172,20
174,10
176,419
178,35
180,68
182,12
184,684
186,86
188,84
190,89
192,15
194,75
196,63
198,34
200,82
